user_id,nama_user,kodepos,email
1,Ir. Paris Siregar,,
2,Oliva Zulkarnain,37034,permadiputri@pt.mil.id
3,Latika Mustofa,2728,caturanggriawan@pd.go.id
4,Elvina Rahmawati,470,varyani@pd.ac.id
5,Tedi Irawan,39756,latuponodaliono@hotmail.com
6,Ir. Hartaka Susanti,6391,siregarfebi@perum.int
7,Manah Nuraini,,
8,Hadi Habibi,,
9,Caket Utami,32723,suwarnopadmi@perum.edu
10,Tgk. Bagas Wasita,,
11,Lalita Sitompul,,
12,Cindy Manullang,65440,dinda95@hotmail.com
13,Tgk. Cici Rajata,2077,pradiptaega@gmail.com
14,Gasti Natsir,25835,purnawativirman@hotmail.com
15,Lintang Rahayu,29597,kenzie11@hotmail.com
16,Lamar Halim,90234,qyulianti@gmail.com
17,R. Karen Marpaung,,
18,Tgk. Hasna Prasasta,,
19,Wardaya Laksmiwati,48665,adinata15@hotmail.com
20,Dr. Adika Kusmawati,,
21,Novi Situmorang,,
22,Gandi Rahmawati,81430,latuponoharjaya@cv.mil
23,Ira Sinaga,51647,vyulianti@yahoo.com
24,Purwa Saefullah,23093,egagunarto@yahoo.com
25,Dr. Ganep Latupono,,
26,Gaman Prasetya,,
27,Bahuwirya Haryanto,38480,esiregar@gmail.com
28,Dr. Kawaya Fujiati,,
29,Sidiq Saputra,,
30,Gamanto Maulana,80220,anggrainieluh@perum.mil
31,Hj. Kiandra Tampubolon,69503,nasyiahhana@gmail.com
32,Samiah Maulana,69802,astutinasab@gmail.com
33,Jasmin Firmansyah,85389,yancerahimah@pt.gov
34,Edison Maulana,5086,jailandriani@gmail.com
35,Laksana Winarno,5750,xbudiyanto@cv.web.id
36,Ratih Wahyudin,82917,uprasetya@yahoo.com
37,Citra Nurdiyanti,,
38,dr. Laswi Andriani,13883,daliminardianto@hotmail.com
39,Himawan Rahayu,86856,unggulsuryatmi@cv.web.id
40,R.A. Rachel Iswahyudi,57543,hjailani@hotmail.com
41,Kartika Thamrin,93826,icha73@gmail.com
42,Oliva Wahyudin,83572,yunizulaika@ud.net.id
43,Puji Hidayanto,,
44,Kasiyah Nugroho,,
45,Warta Aryani,13120,arissamosir@ud.id
46,Eja Tarihoran,77851,imarpaung@ud.go.id
47,Tami Padmasari,40805,perkasakusmawati@cv.co.id
48,R. Melinda Wacana,3497,adhiarjawastuti@pd.mil.id
49,Oni Halim,45037,danuyulianti@hotmail.com
50,Wage Saragih,,
51,KH. Ridwan Pranowo,44206,llatupono@hotmail.com
52,Puput Usada,49874,gwacana@gmail.com
53,Kasiyah Setiawan,62581,caturangga37@gmail.com
54,Umi Nasyidah,25545,ktampubolon@pd.org
55,Drs. Baktianto Aryani,,
